(1, 'Дмитрий', 'Морозов', 'Николаевич', 'Челябинск', '1981-09-22', 26),
(605, 'Владимир', 'Сидоров', 'Николаевич', 'Самара', '1985-10-10', 35),
(606, 'Юрий', 'Смирнов', 'Михайлович', 'Челябинск', '1984-11-29', 8),
(607, 'Владимир', 'Смирнов', 'Владимирович', 'Омск', '2005-11-09', 22),
(608, 'Михаил', 'Иванов', 'Алексеевич', 'Казань', '1993-09-20', 5),
(609, 'Александр', 'Петров', 'Александрович', 'Новосибирск', '1983-01-13', 29),
(610, 'Александр', 'Морозов', 'Владимирович', 'Казань', '2003-11-22', 38),
(611, 'Юрий', 'Морозов', 'Юрьевич', 'Новосибирск', '2004-11-13', 8),
(612, 'Дмитрий', 'Лебедев', 'Сергеевич', 'Казань', '1992-01-13', 37),
(613, 'Алексей', 'Петров', 'Николаевич', 'Челябинск', '2003-08-15', 31),
(614, 'Юрий', 'Новиков', 'Николаевич', 'Ростов-на-Дону', '1991-08-01', 43),
(615, 'Юрий', 'Новиков', 'Михайлович', 'Новосибирск', '2003-11-25', 47),
(616, 'Алексей', 'Кузнецов', 'Владимирович', 'Самара', '1993-09-16', 3),
(617, 'Михаил', 'Козлов', 'Николаевич', 'Ростов-на-Дону', '1982-02-21', 44),
(618, 'Иван', 'Сидоров', 'Дмитриевич', 'Омск', '2005-03-07', 42),
(619, 'Иван', 'Козлов', 'Александрович', 'Ростов-на-Дону', '1996-03-17', 43),
(620, 'Михаил', 'Сидоров', 'Александрович', 'Омск', '1996-08-14', 50),
(621, 'Владимир', 'Попов', 'Дмитриевич', 'Казань', '1999-12-20', 18),
(622, 'Сергей', 'Смирнов', 'Иванович', 'Москва', '1992-05-27', 34),
(623, 'Дмитрий', 'Петров', 'Александрович', 'Нижний Новгород', '1991-05-27', 35),
(624, 'Алексей', 'Иванов', 'Сергеевич', 'Нижний Новгород', '1988-08-05', 37),
(625, 'Сергей', 'Попов', 'Иванович', 'Екатеринбург', '1980-07-16', 11),
(626, 'Александр', 'Морозов', 'Михайлович', 'Казань', '1990-09-29', 50),
(627, 'Дмитрий', 'Новиков', 'Андреевич', 'Самара', '2003-09-16', 11),
(628, 'Дмитрий', 'Кузнецов', 'Александрович', 'Нижний Новгород', '1984-07-18', 22),
(629, 'Алексей', 'Сидоров', 'Иванович', 'Казань', '2004-11-04', 46),
(630, 'Николай', 'Новиков', 'Дмитриевич', 'Москва', '1984-06-01', 50),
(631, 'Дмитрий', 'Новиков', 'Владимирович', 'Омск', '1992-12-18', 26),
(632, 'Сергей', 'Морозов', 'Юрьевич', 'Самара', '1998-08-20', 16),
(633, 'Владимир', 'Новиков', 'Михайлович', 'Москва', '1993-05-11', 12),
(634, 'Дмитрий', 'Сидоров', 'Николаевич', 'Ростов-на-Дону', '2003-10-01', 27),
(635, 'Михаил', 'Петров', 'Александрович', 'Нижний Новгород', '2003-11-03', 49),
(636, 'Юрий', 'Сидоров', 'Александрович', 'Санкт-Петербург', '1984-11-08', 49),
(637, 'Сергей', 'Иванов', 'Иванович', 'Нижний Новгород', '1984-04-04', 10),
(638, 'Юрий', 'Смирнов', 'Алексеевич', 'Новосибирск', '1989-09-21', 37),
(639, 'Алексей', 'Попов', 'Юрьевич', 'Омск', '1980-05-25', 20),
(640, 'Николай', 'Новиков', 'Владимирович', 'Казань', '1998-11-26', 45),
(641, 'Алексей', 'Козлов', 'Александрович', 'Санкт-Петербург', '2001-08-15', 12),
(642, 'Юрий', 'Козлов', 'Михайлович', 'Екатеринбург', '1993-12-09', 41),
(643, 'Иван', 'Смирнов', 'Юрьевич', 'Москва', '1995-04-17', 19),
(644, 'Михаил', 'Морозов', 'Дмитриевич', 'Казань', '1996-07-06', 27),
(645, 'Дмитрий', 'Смирнов', 'Михайлович', 'Нижний Новгород', '1988-07-17', 25),
(646, 'Александр', 'Петров', 'Михайлович', 'Омск', '1999-05-12', 1),
(647, 'Андрей', 'Новиков', 'Иванович', 'Москва', '2001-09-03', 35),
(648, 'Михаил', 'Кузнецов', 'Алексеевич', 'Новосибирск', '2005-04-27', 31),
(649, 'Алексей', 'Козлов', 'Сергеевич', 'Самара', '1992-09-01', 37),
(650, 'Дмитрий', 'Попов', 'Сергеевич', 'Новосибирск', '2001-04-20', 37),
(651, 'Сергей', 'Кузнецов', 'Николаевич', 'Новосибирск', '1995-12-22', 46),
(652, 'Александр', 'Попов', 'Андреевич', 'Санкт-Петербург', '1980-07-21', 42),
(653, 'Алексей', 'Морозов', 'Александрович', 'Санкт-Петербург', '2002-07-31', 9),
(654, 'Владимир', 'Лебедев', 'Алексеевич', 'Москва', '1989-12-20', 15),
(655, 'Иван', 'Попов', 'Александрович', 'Челябинск', '2003-12-09', 19),
(656, 'Александр', 'Попов', 'Юрьевич', 'Екатеринбург', '1983-04-20', 13),
(657, 'Владимир', 'Сидоров', 'Владимирович', 'Ростов-на-Дону', '2003-12-25', 3),
(658, 'Андрей', 'Попов', 'Александрович', 'Омск', '1994-10-28', 18),
(659, 'Андрей', 'Кузнецов', 'Андреевич', 'Самара', '1985-02-21', 37),
(660, 'Сергей', 'Иванов', 'Алексеевич', 'Казань', '1983-10-30', 21),
(661, 'Алексей', 'Сидоров', 'Иванович', 'Санкт-Петербург', '1981-08-30', 23),
(662, 'Николай', 'Петров', 'Николаевич', 'Челябинск', '1990-11-10', 14),
(663, 'Владимир', 'Морозов', 'Николаевич', 'Челябинск', '1980-06-26', 19),
(664, 'Дмитрий', 'Иванов', 'Владимирович', 'Нижний Новгород', '2004-09-23', 1),
(665, 'Андрей', 'Кузнецов', 'Николаевич', 'Ростов-на-Дону', '2002-05-24', 11),
(666, 'Алексей', 'Смирнов', 'Дмитриевич', 'Москва', '2001-07-23', 1),
(667, 'Алексей', 'Сидоров', 'Дмитриевич', 'Казань', '2005-01-21', 16),
(668, 'Андрей', 'Иванов', 'Дмитриевич', 'Казань', '1982-11-01', 31),
(669, 'Владимир', 'Петров', 'Николаевич', 'Казань', '1996-02-09', 23),
(670, 'Владимир', 'Смирнов', 'Юрьевич', 'Самара', '1986-10-24', 10),
(671, 'Иван', 'Попов', 'Иванович', 'Челябинск', '1998-03-04', 34),
(672, 'Николай', 'Петров', 'Владимирович', 'Новосибирск', '2001-11-16', 36),
(673, 'Михаил', 'Смирнов', 'Александрович', 'Москва', '1991-01-06', 21),
(674, 'Михаил', 'Петров', 'Дмитриевич', 'Новосибирск', '1991-07-15', 29),
(675, 'Дмитрий', 'Новиков', 'Алексеевич', 'Москва', '2000-10-06', 7),
(676, 'Михаил', 'Кузнецов', 'Андреевич', 'Новосибирск', '2002-06-17', 29),
(677, 'Дмитрий', 'Лебедев', 'Дмитриевич', 'Нижний Новгород', '1980-12-14', 24),
(678, 'Юрий', 'Попов', 'Михайлович', 'Омск', '1981-08-20', 47),
(679, 'Дмитрий', 'Петров', 'Михайлович', 'Казань', '1990-09-29', 14),
(680, 'Александр', 'Лебедев', 'Михайлович', 'Омск', '1982-07-15', 40),
(681, 'Дмитрий', 'Новиков', 'Сергеевич', 'Казань', '2004-11-05', 30),
(682, 'Николай', 'Попов', 'Владимирович', 'Казань', '1984-09-23', 20),
(683, 'Михаил', 'Новиков', 'Дмитриевич', 'Челябинск', '1984-01-24', 49),
(684, 'Андрей', 'Сидоров', 'Владимирович', 'Ростов-на-Дону', '1989-10-05', 37),
(685, 'Михаил', 'Новиков', 'Андреевич', 'Челябинск', '1982-11-28', 30),
(686, 'Владимир', 'Попов', 'Александрович', 'Нижний Новгород', '1995-11-25', 21),
(687, 'Андрей', 'Петров', 'Владимирович', 'Казань', '1996-02-06', 33),
(688, 'Николай', 'Попов', 'Андреевич', 'Новосибирск', '2005-12-24', 7),
(689, 'Николай', 'Лебедев', 'Юрьевич', 'Челябинск', '1981-10-26', 9),
(690, 'Михаил', 'Смирнов', 'Иванович', 'Челябинск', '1980-01-10', 34),
(691, 'Иван', 'Морозов', 'Юрьевич', 'Екатеринбург', '1994-11-11', 41),
(692, 'Александр', 'Петров', 'Иванович', 'Санкт-Петербург', '2002-07-22', 30),
(693, 'Николай', 'Попов', 'Николаевич', 'Екатеринбург', '1982-12-12', 38),
(694, 'Иван', 'Смирнов', 'Михайлович', 'Новосибирск', '1998-10-08', 4),
(695, 'Иван', 'Кузнецов', 'Дмитриевич', 'Новосибирск', '2001-05-22', 21),
(696, 'Михаил', 'Кузнецов', 'Николаевич', 'Казань', '2000-11-19', 39),
(697, 'Дмитрий', 'Козлов', 'Сергеевич', 'Челябинск', '1999-03-30', 23),
(698, 'Алексей', 'Сидоров', 'Алексеевич', 'Челябинск', '1986-07-27', 35),
(699, 'Сергей', 'Попов', 'Юрьевич', 'Самара', '1982-03-15', 13),
(700, 'Андрей', 'Лебедев', 'Николаевич', 'Екатеринбург', '1986-06-13', 19),
(701, 'Николай', 'Сидоров', 'Иванович', 'Екатеринбург', '1983-07-26', 16),
(702, 'Юрий', 'Козлов', 'Николаевич', 'Екатеринбург', '1983-03-16', 14),
(703, 'Николай', 'Петров', 'Сергеевич', 'Новосибирск', '1982-11-22', 31),
(704, 'Александр', 'Козлов', 'Юрьевич', 'Омск', '1984-03-05', 46),
(705, 'Владимир', 'Иванов', 'Сергеевич', 'Омск', '2004-06-21', 2),
(706, 'Иван', 'Смирнов', 'Михайлович', 'Москва', '1992-08-19', 12),
(707, 'Александр', 'Морозов', 'Дмитриевич', 'Москва', '2003-12-13', 33),
(708, 'Андрей', 'Козлов', 'Николаевич', 'Ростов-на-Дону', '2001-01-10', 27),
(709, 'Владимир', 'Козлов', 'Иванович', 'Екатеринбург', '1990-07-19', 20),
(710, 'Дмитрий', 'Новиков', 'Юрьевич', 'Москва', '1985-06-21', 4),
(711, 'Иван', 'Кузнецов', 'Александрович', 'Челябинск', '1985-07-02', 32),
(712, 'Николай', 'Морозов', 'Сергеевич', 'Челябинск', '1986-09-11', 19),
(713, 'Николай', 'Лебедев', 'Александрович', 'Казань', '1999-08-26', 4),
(714, 'Юрий', 'Сидоров', 'Дмитриевич', 'Ростов-на-Дону', '1989-10-20', 23),
(715, 'Алексей', 'Новиков', 'Андреевич', 'Санкт-Петербург', '1984-01-31', 49),
(716, 'Николай', 'Петров', 'Юрьевич', 'Омск', '2004-06-12', 43),
(717, 'Михаил', 'Петров', 'Юрьевич', 'Москва', '1997-11-25', 17),
(718, 'Алексей', 'Новиков', 'Михайлович', 'Нижний Новгород', '1996-10-09', 15),
(719, 'Иван', 'Сидоров', 'Сергеевич', 'Омск', '2002-06-08', 12),
(720, 'Александр', 'Иванов', 'Дмитриевич', 'Екатеринбург', '2005-01-25', 46),
(721, 'Юрий', 'Иванов', 'Владимирович', 'Самара', '1988-02-21', 30),
(722, 'Александр', 'Козлов', 'Михайлович', 'Нижний Новгород', '1986-11-29', 29),
(723, 'Михаил', 'Смирнов', 'Владимирович', 'Москва', '1988-04-02', 7),
(724, 'Иван', 'Морозов', 'Юрьевич', 'Казань', '1991-02-25', 5),
(725, 'Иван', 'Попов', 'Юрьевич', 'Санкт-Петербург', '1995-02-13', 20),
(726, 'Александр', 'Морозов', 'Николаевич', 'Самара', '2005-06-05', 5),
(727, 'Михаил', 'Морозов', 'Дмитриевич', 'Самара', '1987-12-21', 50),
(728, 'Андрей', 'Морозов', 'Алексеевич', 'Омск', '1993-10-10', 41),
(729, 'Михаил', 'Попов', 'Андреевич', 'Казань', '1989-06-22', 11),
(730, 'Алексей', 'Смирнов', 'Михайлович', 'Казань', '2005-04-07', 18),
(731, 'Владимир', 'Попов', 'Иванович', 'Санкт-Петербург', '1996-05-10', 37),
(732, 'Владимир', 'Петров', 'Дмитриевич', 'Ростов-на-Дону', '1988-02-04', 25),
(733, 'Александр', 'Сидоров', 'Александрович', 'Омск', '1983-10-15', 35),
(734, 'Владимир', 'Морозов', 'Андреевич', 'Самара', '1985-10-11', 9),
(735, 'Михаил', 'Иванов', 'Николаевич', 'Челябинск', '1997-07-12', 49),
(736, 'Алексей', 'Попов', 'Андреевич', 'Казань', '1988-08-08', 26),
(737, 'Юрий', 'Лебедев', 'Владимирович', 'Нижний Новгород', '1982-12-15', 38),
(738, 'Иван', 'Смирнов', 'Сергеевич', 'Новосибирск', '1984-07-31', 44),
(739, 'Иван', 'Кузнецов', 'Иванович', 'Москва', '1990-09-02', 21),
(740, 'Михаил', 'Смирнов', 'Николаевич', 'Казань', '2002-05-03', 35),
(741, 'Николай', 'Морозов', 'Михайлович', 'Санкт-Петербург', '1983-10-24', 8),
(742, 'Николай', 'Попов', 'Михайлович', 'Новосибирск', '1996-05-04', 45),
(743, 'Владимир', 'Морозов', 'Юрьевич', 'Нижний Новгород', '1988-11-17', 10),
(744, 'Иван', 'Козлов', 'Николаевич', 'Москва', '1994-12-25', 39),
(745, 'Сергей', 'Смирнов', 'Сергеевич', 'Москва', '1985-08-31', 7),
(746, 'Дмитрий', 'Попов', 'Николаевич', 'Москва', '2004-08-23', 32),
(747, 'Андрей', 'Лебедев', 'Андреевич', 'Челябинск', '1987-05-24', 22),
(748, 'Михаил', 'Лебедев', 'Владимирович', 'Екатеринбург', '2005-11-18', 43),
(749, 'Алексей', 'Лебедев', 'Михайлович', 'Санкт-Петербург', '1998-02-09', 38),
(750, 'Андрей', 'Петров', 'Иванович', 'Самара', '2005-06-15', 43),
(751, 'Иван', 'Лебедев', 'Михайлович', 'Самара', '1984-04-03', 31),
(752, 'Дмитрий', 'Петров', 'Иванович', 'Омск', '1990-07-16', 22),
(753, 'Юрий', 'Петров', 'Иванович', 'Ростов-на-Дону', '2002-10-20', 2),
(754, 'Иван', 'Морозов', 'Юрьевич', 'Самара', '1991-10-22', 1),
(755, 'Владимир', 'Петров', 'Александрович', 'Москва', '2002-05-04', 28),
(756, 'Дмитрий', 'Лебедев', 'Андреевич', 'Санкт-Петербург', '1982-03-17', 7),
(757, 'Дмитрий', 'Кузнецов', 'Николаевич', 'Нижний Новгород', '1982-06-21', 43),
(758, 'Сергей', 'Сидоров', 'Дмитриевич', 'Челябинск', '2002-04-09', 45),
(759, 'Дмитрий', 'Петров', 'Николаевич', 'Омск', '1989-08-04', 12),
(760, 'Дмитрий', 'Сидоров', 'Александрович', 'Екатеринбург', '1992-12-15', 14),
(761, 'Александр', 'Попов', 'Алексеевич', 'Екатеринбург', '1988-06-12', 29),
(762, 'Владимир', 'Новиков', 'Юрьевич', 'Екатеринбург', '1992-01-21', 36),
(763, 'Александр', 'Петров', 'Иванович', 'Москва', '2002-11-01', 4),
(764, 'Николай', 'Кузнецов', 'Андреевич', 'Омск', '2002-02-07', 7),
(765, 'Юрий', 'Попов', 'Владимирович', 'Новосибирск', '1982-12-26', 2),
(766, 'Николай', 'Смирнов', 'Юрьевич', 'Казань', '2003-05-25', 29),
(767, 'Иван', 'Смирнов', 'Алексеевич', 'Ростов-на-Дону', '1993-01-26', 49),
(768, 'Владимир', 'Сидоров', 'Николаевич', 'Новосибирск', '1986-12-15', 7),
(769, 'Владимир', 'Попов', 'Сергеевич', 'Челябинск', '1986-12-03', 19),
(770, 'Юрий', 'Лебедев', 'Николаевич', 'Новосибирск', '1986-05-22', 12),
(771, 'Александр', 'Кузнецов', 'Владимирович', 'Новосибирск', '1980-10-13', 26),
(772, 'Александр', 'Козлов', 'Юрьевич', 'Челябинск', '1985-11-22', 45),
(773, 'Александр', 'Морозов', 'Дмитриевич', 'Новосибирск', '1980-10-28', 21),
(774, 'Владимир', 'Петров', 'Дмитриевич', 'Нижний Новгород', '1984-02-15', 16),
(775, 'Дмитрий', 'Кузнецов', 'Сергеевич', 'Казань', '1984-08-05', 35),
(776, 'Александр', 'Козлов', 'Сергеевич', 'Ростов-на-Дону', '1998-09-16', 16),
(777, 'Александр', 'Смирнов', 'Сергеевич', 'Казань', '1999-08-10', 9),
(778, 'Михаил', 'Попов', 'Алексеевич', 'Самара', '1984-07-04', 6),
(779, 'Николай', 'Иванов', 'Сергеевич', 'Москва', '1997-03-11', 29),
(780, 'Дмитрий', 'Лебедев', 'Алексеевич', 'Омск', '2002-11-26', 2),
(781, 'Иван', 'Морозов', 'Александрович', 'Новосибирск', '1992-09-22', 12),
(782, 'Владимир', 'Новиков', 'Иванович', 'Челябинск', '1998-03-28', 42),
(783, 'Сергей', 'Козлов', 'Михайлович', 'Самара', '1987-07-05', 22),
(784, 'Иван', 'Козлов', 'Владимирович', 'Казань', '1998-12-08', 16),
(785, 'Алексей', 'Лебедев', 'Дмитриевич', 'Новосибирск', '1992-03-12', 32),
(786, 'Александр', 'Смирнов', 'Николаевич', 'Екатеринбург', '1990-01-07', 23),
(787, 'Сергей', 'Новиков', 'Юрьевич', 'Санкт-Петербург', '1986-06-20', 11),
(788, 'Андрей', 'Смирнов', 'Сергеевич', 'Ростов-на-Дону', '1996-10-11', 28),
(789, 'Андрей', 'Попов', 'Дмитриевич', 'Санкт-Петербург', '1990-07-01', 9),
(790, 'Алексей', 'Кузнецов', 'Дмитриевич', 'Новосибирск', '1981-03-12', 28),
(791, 'Владимир', 'Кузнецов', 'Иванович', 'Новосибирск', '1996-09-18', 26),
(792, 'Дмитрий', 'Новиков', 'Владимирович', 'Омск', '2004-11-27', 37),
(793, 'Юрий', 'Морозов', 'Юрьевич', 'Екатеринбург', '1988-06-30', 28),
(794, 'Владимир', 'Сидоров', 'Николаевич', 'Новосибирск', '1999-10-14', 9),
(795, 'Владимир', 'Иванов', 'Михайлович', 'Нижний Новгород', '2005-10-16', 5),
(796, 'Александр', 'Смирнов', 'Иванович', 'Ростов-на-Дону', '1980-06-04', 30),
(797, 'Владимир', 'Сидоров', 'Юрьевич', 'Самара', '1984-12-03', 37),
(798, 'Николай', 'Морозов', 'Алексеевич', 'Москва', '1982-12-14', 6),
(799, 'Алексей', 'Сидоров', 'Николаевич', 'Екатеринбург', '2005-03-30', 42),
(800, 'Иван', 'Новиков', 'Иванович', 'Ростов-на-Дону', '1993-07-22', 36),
(801, 'Александр', 'Лебедев', 'Андреевич', 'Ростов-на-Дону', '2002-06-02', 46),
(802, 'Владимир', 'Морозов', 'Юрьевич', 'Самара', '1992-03-07', 19),
(803, 'Алексей', 'Лебедев', 'Юрьевич', 'Нижний Новгород', '2003-09-27', 30),
(804, 'Сергей', 'Иванов', 'Михайлович', 'Челябинск', '1991-03-06', 27),
(805, 'Иван', 'Козлов', 'Алексеевич', 'Санкт-Петербург', '1994-09-05', 32),
(806, 'Иван', 'Кузнецов', 'Сергеевич', 'Санкт-Петербург', '1990-09-26', 3),
(807, 'Владимир', 'Петров', 'Дмитриевич', 'Ростов-на-Дону', '1988-05-02', 19),
(808, 'Дмитрий', 'Смирнов', 'Андреевич', 'Ростов-на-Дону', '1995-10-13', 13),
(809, 'Дмитрий', 'Попов', 'Сергеевич', 'Новосибирск', '1989-11-02', 18),
(810, 'Александр', 'Петров', 'Андреевич', 'Омск', '2005-04-23', 38),
(811, 'Николай', 'Козлов', 'Владимирович', 'Нижний Новгород', '1992-06-09', 36),
(812, 'Андрей', 'Попов', 'Андреевич', 'Ростов-на-Дону', '2000-08-07', 40),
(813, 'Михаил', 'Морозов', 'Владимирович', 'Казань', '1980-04-10', 24),
(814, 'Николай', 'Петров', 'Дмитриевич', 'Самара', '1984-11-17', 29),
(815, 'Дмитрий', 'Новиков', 'Дмитриевич', 'Самара', '1985-02-25', 17),
(816, 'Иван', 'Новиков', 'Сергеевич', 'Новосибирск', '2001-06-07', 48),
(817, 'Александр', 'Сидоров', 'Владимирович', 'Челябинск', '1992-07-05', 36),
(818, 'Алексей', 'Кузнецов', 'Алексеевич', 'Москва', '1993-03-26', 22),
(819, 'Дмитрий', 'Сидоров', 'Иванович', 'Новосибирск', '1990-07-30', 36),
(820, 'Сергей', 'Смирнов', 'Михайлович', 'Нижний Новгород', '1992-04-01', 11),
(821, 'Владимир', 'Петров', 'Михайлович', 'Ростов-на-Дону', '1995-04-14', 8),
(822, 'Александр', 'Лебедев', 'Сергеевич', 'Казань', '1982-12-19', 3),
(823, 'Владимир', 'Козлов', 'Сергеевич', 'Нижний Новгород', '1983-04-09', 1),
(824, 'Дмитрий', 'Смирнов', 'Андреевич', 'Нижний Новгород', '2002-08-18', 16),
(825, 'Владимир', 'Лебедев', 'Алексеевич', 'Санкт-Петербург', '1991-11-20', 7),
(826, 'Сергей', 'Смирнов', 'Иванович', 'Новосибирск', '1995-03-24', 33),
(827, 'Дмитрий', 'Иванов', 'Владимирович', 'Омск', '1997-05-10', 19),
(828, 'Сергей', 'Лебедев', 'Иванович', 'Новосибирск', '2005-07-09', 35),
(829, 'Андрей', 'Новиков', 'Иванович', 'Ростов-на-Дону', '1980-12-13', 27),
(830, 'Сергей', 'Козлов', 'Дмитриевич', 'Челябинск', '1997-08-12', 20),
(831, 'Сергей', 'Сидоров', 'Иванович', 'Самара', '1991-02-26', 26),
(832, 'Дмитрий', 'Морозов', 'Алексеевич', 'Омск', '2002-02-02', 35),
(833, 'Юрий', 'Кузнецов', 'Сергеевич', 'Омск', '1986-08-16', 21),
(834, 'Дмитрий', 'Морозов', 'Дмитриевич', 'Екатеринбург', '1993-01-03', 20),
(835, 'Александр', 'Сидоров', 'Николаевич', 'Казань', '1980-09-14', 25),
(836, 'Владимир', 'Лебедев', 'Юрьевич', 'Санкт-Петербург', '1989-01-08', 10),
(837, 'Сергей', 'Смирнов', 'Дмитриевич', 'Казань', '2005-02-09', 38),
(838, 'Владимир', 'Сидоров', 'Юрьевич', 'Челябинск', '1995-03-21', 3),
(839, 'Дмитрий', 'Иванов', 'Михайлович', 'Новосибирск', '2001-04-09', 22),
(840, 'Дмитрий', 'Сидоров', 'Иванович', 'Омск', '1994-04-06', 17),
(841, 'Владимир', 'Сидоров', 'Сергеевич', 'Омск', '2002-01-03', 23),
(842, 'Алексей', 'Морозов', 'Михайлович', 'Казань', '1993-02-13', 17),
(843, 'Андрей', 'Иванов', 'Алексеевич', 'Самара', '2001-05-15', 29),
(844, 'Александр', 'Лебедев', 'Александрович', 'Самара', '1988-09-14', 39),
(845, 'Александр', 'Смирнов', 'Алексеевич', 'Челябинск', '1983-07-11', 2),
(846, 'Александр', 'Сидоров', 'Сергеевич', 'Казань', '1980-05-28', 22),
(847, 'Александр', 'Морозов', 'Алексеевич', 'Москва', '2000-12-05', 25),
(848, 'Иван', 'Сидоров', 'Алексеевич', 'Омск', '1984-02-20', 34),
(849, 'Юрий', 'Новиков', 'Александрович', 'Новосибирск', '1981-02-20', 29),
(850, 'Андрей', 'Козлов', 'Николаевич', 'Омск', '1996-05-15', 49),
(851, 'Алексей', 'Попов', 'Владимирович', 'Екатеринбург', '1991-10-12', 5),
(852, 'Алексей', 'Петров', 'Иванович', 'Нижний Новгород', '1994-01-21', 32),
(853, 'Юрий', 'Лебедев', 'Владимирович', 'Москва', '1988-08-04', 22),
(854, 'Владимир', 'Петров', 'Николаевич', 'Челябинск', '1997-01-16', 35),
(855, 'Владимир', 'Смирнов', 'Андреевич', 'Самара', '2000-06-22', 38),
(856, 'Алексей', 'Кузнецов', 'Юрьевич', 'Москва', '1988-02-19', 6),
(857, 'Дмитрий', 'Лебедев', 'Алексеевич', 'Казань', '1986-09-22', 38),
(858, 'Юрий', 'Кузнецов', 'Дмитриевич', 'Челябинск', '2004-10-04', 29),
(859, 'Алексей', 'Петров', 'Андреевич', 'Москва', '2000-02-26', 7),
(860, 'Алексей', 'Кузнецов', 'Владимирович', 'Москва', '1984-08-04', 42),
(861, 'Алексей', 'Иванов', 'Владимирович', 'Челябинск', '2005-09-08', 15),
(862, 'Михаил', 'Морозов', 'Сергеевич', 'Челябинск', '1980-04-01', 3),
(863, 'Михаил', 'Попов', 'Андреевич', 'Москва', '1995-11-18', 31),
(864, 'Александр', 'Петров', 'Николаевич', 'Санкт-Петербург', '1988-12-05', 49),
(865, 'Михаил', 'Новиков', 'Дмитриевич', 'Екатеринбург', '1994-10-29', 35),
(866, 'Владимир', 'Сидоров', 'Андреевич', 'Омск', '1992-06-17', 13),
(867, 'Юрий', 'Смирнов', 'Дмитриевич', 'Казань', '2005-03-31', 2),
(868, 'Андрей', 'Лебедев', 'Николаевич', 'Казань', '1980-12-19', 9),
(869, 'Алексей', 'Морозов', 'Николаевич', 'Омск', '1983-03-03', 37),
(870, 'Андрей', 'Кузнецов', 'Дмитриевич', 'Москва', '1980-01-15', 4),
(871, 'Сергей', 'Попов', 'Андреевич', 'Казань', '1983-02-20', 16),
(872, 'Юрий', 'Попов', 'Юрьевич', 'Самара', '1997-12-17', 33),
(873, 'Алексей', 'Смирнов', 'Иванович', 'Челябинск', '1998-06-05', 32),
(874, 'Дмитрий', 'Кузнецов', 'Николаевич', 'Санкт-Петербург', '1982-07-24', 48),
(875, 'Алексей', 'Морозов', 'Николаевич', 'Самара', '1992-07-10', 13),
(876, 'Николай', 'Смирнов', 'Владимирович', 'Москва', '2005-07-01', 15),
(877, 'Иван', 'Кузнецов', 'Владимирович', 'Нижний Новгород', '2004-07-10', 18),
(878, 'Александр', 'Иванов', 'Александрович', 'Челябинск', '1984-06-05', 1),
(879, 'Владимир', 'Морозов', 'Михайлович', 'Омск', '1995-03-21', 41),
(880, 'Владимир', 'Иванов', 'Михайлович', 'Екатеринбург', '1995-04-14', 34),
(881, 'Андрей', 'Иванов', 'Дмитриевич', 'Москва', '1985-08-06', 40),
(882, 'Сергей', 'Попов', 'Юрьевич', 'Екатеринбург', '1984-01-24', 47),
(883, 'Юрий', 'Лебедев', 'Юрьевич', 'Санкт-Петербург', '1986-06-20', 18),
(884, 'Андрей', 'Сидоров', 'Сергеевич', 'Казань', '1981-02-01', 17),
(885, 'Александр', 'Кузнецов', 'Юрьевич', 'Самара', '1990-04-16', 8),
(886, 'Иван', 'Новиков', 'Михайлович', 'Казань', '1996-12-05', 12),
(887, 'Михаил', 'Петров', 'Андреевич', 'Казань', '1987-02-26', 34),
(888, 'Николай', 'Сидоров', 'Владимирович', 'Ростов-на-Дону', '1985-07-14', 19),
(889, 'Юрий', 'Морозов', 'Алексеевич', 'Новосибирск', '2000-10-13', 46),
(890, 'Андрей', 'Морозов', 'Александрович', 'Москва', '2001-12-09', 34),
(891, 'Владимир', 'Сидоров', 'Николаевич', 'Екатеринбург', '1999-03-15', 49),
(892, 'Сергей', 'Иванов', 'Михайлович', 'Казань', '1984-12-16', 8),
(893, 'Андрей', 'Иванов', 'Николаевич', 'Нижний Новгород', '2004-04-28', 44),
(894, 'Алексей', 'Попов', 'Владимирович', 'Москва', '1984-08-15', 46),
(895, 'Андрей', 'Смирнов', 'Андреевич', 'Казань', '1989-12-16', 3),
(896, 'Владимир', 'Лебедев', 'Алексеевич', 'Екатеринбург', '1980-08-04', 34),
(897, 'Александр', 'Новиков', 'Дмитриевич', 'Санкт-Петербург', '1996-03-29', 7),
(898, 'Иван', 'Кузнецов', 'Николаевич', 'Екатеринбург', '1981-11-02', 49),
(899, 'Владимир', 'Иванов', 'Михайлович', 'Екатеринбург', '2000-08-10', 43),
(900, 'Юрий', 'Кузнецов', 'Николаевич', 'Ростов-на-Дону', '1997-03-11', 37),
(901, 'Михаил', 'Петров', 'Сергеевич', 'Нижний Новгород', '1999-02-18', 9),
(902, 'Владимир', 'Новиков', 'Иванович', 'Челябинск', '2002-08-20', 7),
(903, 'Сергей', 'Попов', 'Алексеевич', 'Екатеринбург', '1987-12-18', 26),
(904, 'Юрий', 'Козлов', 'Владимирович', 'Казань', '1985-10-31', 24),
(905, 'Алексей', 'Морозов', 'Дмитриевич', 'Ростов-на-Дону', '1992-09-15', 38),
(906, 'Сергей', 'Морозов', 'Иванович', 'Омск', '1985-07-10', 7),
(907, 'Александр', 'Петров', 'Владимирович', 'Самара', '2001-12-31', 50),
